flight_number,flight_Date,customer_ID,action,date,class,plane_row,seat
PA001,5/3/2024,000004122,Seat Changed,20/1/2024,First,2,2
PA001,5/3/2024,000004122,Cancelled,1/2/2024,,,
PA001,5/3/2024,000004131,Booked,25/12/2023,Business,10,2
PA001,5/3/2024,000004131,Upgraded,3/1/2024,First,8,2
PA001,5/3/2024,000004131,Cancelled,5/3/2024,,,
PA001,5/3/2024,000004212,Booked,23/1/2024,Business,9,1
PA001,5/3/2024,000004212,Cancelled,7/2/2024,,,
PA001,5/3/2024,000004268,Booked,2/12/2023,Business,18,1
PA001,5/3/2024,000004268,Seat Changed,5/1/2024,Business,16,1
PA001,5/3/2024,000004268,Upgraded,14/1/2024,First,8,4
PA001,5/3/2024,000004268,Cancelled,9/2/2024,,,
PA001,5/3/2024,000004610,Booked,27/12/2023,First,1,2
PA001,5/3/2024,000004636,Booked,2/1/2024,First,1,4
PA001,5/3/2024,000004636,Seat Changed,16/1/2024,First,2,4
PA001,5/3/2024,000004922,Booked,10/12/2023,Business,17,1
PA001,5/3/2024,000004922,Seat Changed,24/12/2023,Business,16,1
PA001,5/3/2024,000004922,Cancelled,24/1/2024,,,
PA001,5/3/2024,000004963,Booked,26/12/2023,Business,9,4
PA001,5/3/2024,000004963,Seat Changed,4/1/2024,Business,14,2
PA001,5/3/2024,000005077,Booked,16/1/2024,First,1,1
PA001,5/3/2024,000005077,Cancelled,4/2/2024,,,
PA001,5/3/2024,000005200,Booked,27/12/2023,Business,16,2
PA001,5/3/2024,000005200,Seat Changed,21/1/2024,Business,18,2
PA001,5/3/2024,000005200,Upgraded,11/2/2024,First,2,3
PA001,5/3/2024,000005200,Seat Changed,21/2/2024,First,7,2
PA001,5/3/2024,000005254,Booked,30/1/2024,Premium Economy,20,1
PA001,5/3/2024,000005325,Booked,21/11/2023,First,8,4
PA001,5/3/2024,000005325,Seat Changed,4/12/2023,First,8,4
PA001,5/3/2024,000005325,Seat Changed,3/1/2024,First,6,1
PA001,5/3/2024,000005325,Seat Changed,5/2/2024,First,3,2
PA001,5/3/2024,000005477,Booked,22/1/2024,Business,10,2
PA001,5/3/2024,000005477,Upgraded,4/2/2024,First,8,4
PA001,5/3/2024,000006170,Booked,15/1/2024,Business,12,2
PA001,5/3/2024,000006170,Seat Changed,19/2/2024,Business,14,3
PA001,5/3/2024,000006250,Booked,13/12/2023,First,1,2
PA001,5/3/2024,000006250,Seat Changed,15/1/2024,First,6,2
PA001,5/3/2024,000006250,Cancelled,19/2/2024,,,
PA001,5/3/2024,000006353,Booked,20/1/2024,Business,18,1
PA001,5/3/2024,000006433,Booked,6/12/2023,Business,11,3
PA001,5/3/2024,000006433,Seat Changed,25/12/2023,Business,10,2
PA001,5/3/2024,000006433,Cancelled,30/1/2024,,,
PA001,5/3/2024,000006589,Booked,2/2/2024,First,1,3
PA001,5/3/2024,000006589,Cancelled,27/2/2024,,,
PA001,5/3/2024,000006624,Booked,3/1/2024,Business,13,4
PA001,5/3/2024,000006624,Seat Changed,18/1/2024,Business,15,4
PA001,5/3/2024,000006624,Seat Changed,15/2/2024,Business,11,2
PA001,5/3/2024,000006709,Booked,3/12/2023,Business,15,4
PA001,5/3/2024,000006709,Seat Changed,25/12/2023,Business,13,2
PA001,5/3/2024,000006709,Seat Changed,27/1/2024,Business,13,1
PA001,5/3/2024,000006709,Upgraded,27/2/2024,First,8,1
PA001,5/3/2024,000006734,Booked,26/1/2024,Business,11,2
PA001,5/3/2024,000006734,Seat Changed,22/2/2024,Business,11,1
PA001,5/3/2024,000006796,Booked,10/1/2024,First,6,1
PA001,5/3/2024,000006796,Seat Changed,11/2/2024,First,5,4
PA001,5/3/2024,000006850,Booked,16/12/2023,First,2,2
PA001,5/3/2024,000006850,Seat Changed,27/12/2023,First,1,1
PA001,5/3/2024,000007019,Booked,3/12/2023,First,3,3
PA001,5/3/2024,000007150,Booked,1/2/2024,Business,17,3
PA001,5/3/2024,000007150,Seat Changed,1/3/2024,Business,10,1
PA001,5/3/2024,000007558,Booked,27/11/2023,First,2,3
PA001,5/3/2024,000007558,Cancelled,27/12/2023,,,
PA001,5/3/2024,000007614,Booked,17/12/2023,Business,14,3
PA001,5/3/2024,000007614,Upgraded,13/1/2024,First,7,3
PA001,5/3/2024,000007614,Cancelled,11/2/2024,,,
PA001,5/3/2024,000007656,Booked,24/11/2023,Business,13,2
PA001,5/3/2024,000007656,Upgraded,8/12/2023,First,4,1
PA001,5/3/2024,000007656,Seat Changed,30/12/2023,First,7,2
PA001,5/3/2024,000007656,Cancelled,23/1/2024,,,
PA001,5/3/2024,000007687,Booked,5/1/2024,Business,12,4
PA001,5/3/2024,000007687,Upgraded,12/1/2024,First,3,3
PA001,5/3/2024,000007861,Booked,19/11/2023,First,6,4
PA001,5/3/2024,000007861,Seat Changed,10/12/2023,First,4,2
PA001,5/3/2024,000007861,Seat Changed,8/1/2024,First,4,1
PA001,5/3/2024,000007924,Booked,5/12/2023,Business,17,4
PA001,5/3/2024,000007924,Seat Changed,1/1/2024,Business,18,2
PA001,5/3/2024,000007924,Seat Changed,30/1/2024,Business,17,3
PA001,5/3/2024,000007961,Booked,22/12/2023,First,5,3
PA001,5/3/2024,000008172,Booked,10/12/2023,First,8,1
PA001,5/3/2024,000008172,Seat Changed,26/12/2023,First,1,3
PA001,5/3/2024,000008286,Booked,3/12/2023,Premium Economy,20,1
PA001,5/3/2024,000008286,Seat Changed,15/12/2023,Premium Economy,23,3
PA001,5/3/2024,000008457,Booked,15/12/2023,Business,9,3
PA001,5/3/2024,000008457,Seat Changed,5/1/2024,Business,16,2
PA001,5/3/2024,000008457,Seat Changed,27/1/2024,Business,9,1
PA001,5/3/2024,000008462,Booked,13/1/2024,Business,10,2
PA001,5/3/2024,000008462,Seat Changed,28/1/2024,Business,15,3
PA001,5/3/2024,000008462,Seat Changed,12/2/2024,Business,9,3
PA001,5/3/2024,000008494,Booked,18/1/2024,First,7,1
PA001,5/3/2024,000008494,Cancelled,9/2/2024,,,
PA001,5/3/2024,000008518,Booked,18/1/2024,Business,18,4
PA001,5/3/2024,000008822,Booked,10/1/2024,Business,18,3
PA001,5/3/2024,000008822,Upgraded,30/1/2024,First,6,4
PA001,5/3/2024,000008878,Booked,9/1/2024,First,6,4
PA001,5/3/2024,000008878,Seat Changed,26/1/2024,First,1,2
PA001,5/3/2024,000008878,Cancelled,15/2/2024,,,
PA001,5/3/2024,000009075,Booked,1/12/2023,Business,10,4
PA001,5/3/2024,000009075,Upgraded,16/12/2023,First,6,4
PA001,5/3/2024,000009075,Seat Changed,28/12/2023,First,7,1
PA001,5/3/2024,000009369,Booked,3/2/2024,First,2,2
PA001,5/3/2024,000009369,Seat Changed,25/2/2024,First,2,4
PA001,5/3/2024,000009438,Booked,25/12/2023,First,6,1
PA001,5/3/2024,000009438,Seat Changed,17/1/2024,First,8,1
PA001,5/3/2024,000009438,Cancelled,28/1/2024,,,
PA001,5/3/2024,000009474,Booked,28/1/2024,First,8,3
PA001,5/3/2024,000009481,Booked,12/11/2023,Business,17,3
PA001,5/3/2024,000009481,Upgraded,19/12/2023,First,6,4
PA001,5/3/2024,000009695,Booked,23/12/2023,First,5,4
PA001,5/3/2024,000009933,Booked,28/1/2024,Business,18,2
PA001,5/3/2024,000009933,Seat Changed,24/2/2024,Business,18,3
PA002,30/3/2024,000000082,Booked,12/2/2024,Premium Economy,19,5
PA002,30/3/2024,000000082,Cancelled,26/2/2024,,,
PA002,30/3/2024,000000642,Booked,13/1/2024,Premium Economy,22,5
PA002,30/3/2024,000000642,Seat Changed,13/2/2024,Premium Economy,21,4
PA002,30/3/2024,000000642,Upgraded,15/3/2024,Business,16,1
PA002,30/3/2024,000001086,Booked,1/12/2023,Premium Economy,25,3
PA002,30/3/2024,000001086,Seat Changed,13/12/2023,Premium Economy,24,7
PA002,30/3/2024,000001086,Seat Changed,30/12/2023,Premium Economy,19,1
PA002,30/3/2024,000001346,Booked,5/1/2024,Premium Economy,22,6
PA002,30/3/2024,000001346,Upgraded,31/1/2024,Business,17,3
PA002,30/3/2024,000001346,Seat Changed,9/2/2024,Business,18,3
PA002,30/3/2024,000001346,Seat Changed,28/2/2024,Business,18,4
PA002,30/3/2024,000001346,Upgraded,15/3/2024,First,2,2
PA002,30/3/2024,000001346,Seat Changed,26/3/2024,First,5,2
PA002,30/3/2024,000001734,Booked,17/12/2023,Premium Economy,24,1
PA002,30/3/2024,000001734,Upgraded,28/12/2023,Business,10,2
PA002,30/3/2024,000001975,Booked,16/12/2023,Premium Economy,23,7
PA002,30/3/2024,000001975,Seat Changed,20/1/2024,Premium Economy,22,3
PA002,30/3/2024,000001975,Upgraded,1/2/2024,Business,13,1
PA002,30/3/2024,000002271,Booked,28/12/2023,Premium Economy,23,5
PA002,30/3/2024,000002271,Seat Changed,1/2/2024,Premium Economy,24,1
PA002,30/3/2024,000002271,Seat Changed,8/2/2024,Premium Economy,19,6
PA002,30/3/2024,000003111,Booked,14/12/2023,Premium Economy,26,2
PA002,30/3/2024,000003114,Booked,8/2/2024,Premium Economy,25,5
PA002,30/3/2024,000003114,Seat Changed,17/2/2024,Premium Economy,26,7
PA002,30/3/2024,000003514,Booked,5/12/2023,Premium Economy,23,7
PA002,30/3/2024,000003514,Seat Changed,25/12/2023,Premium Economy,19,5
PA002,30/3/2024,000003514,Upgraded,28/1/2024,Business,11,1
PA002,30/3/2024,000003766,Booked,26/1/2024,Premium Economy,20,5
PA002,30/3/2024,000003766,Upgraded,26/2/2024,Business,13,3
PA002,30/3/2024,000003931,Booked,29/12/2023,Premium Economy,26,4
PA002,30/3/2024,000003931,Cancelled,24/1/2024,,,
PA002,30/3/2024,000004093,Booked,30/1/2024,Premium Economy,24,3
PA002,30/3/2024,000004093,Seat Changed,2/3/2024,Premium Economy,22,6
PA002,30/3/2024,000004250,Booked,7/1/2024,Premium Economy,19,5
PA002,30/3/2024,000004250,Cancelled,25/1/2024,,,
PA002,30/3/2024,000004636,Booked,10/2/2024,Premium Economy,22,4
PA002,30/3/2024,000004636,Seat Changed,6/3/2024,Premium Economy,21,4
PA002,30/3/2024,000004922,Booked,4/12/2023,Premium Economy,22,2
PA002,30/3/2024,000004922,Seat Changed,19/12/2023,Premium Economy,19,2
PA002,30/3/2024,000004922,Upgraded,16/1/2024,Business,12,2
PA002,30/3/2024,000004922,Cancelled,16/2/2024,,,
PA002,30/3/2024,000004963,Booked,14/1/2024,Premium Economy,23,2
PA002,30/3/2024,000004963,Seat Changed,12/2/2024,Premium Economy,26,8
PA002,30/3/2024,000004985,Booked,4/2/2024,Premium Economy,25,6
PA002,30/3/2024,000004985,Seat Changed,27/2/2024,Premium Economy,25,8
PA002,30/3/2024,000005127,Booked,2/1/2024,Premium Economy,22,4
PA002,30/3/2024,000005127,Seat Changed,25/1/2024,Premium Economy,22,2
PA002,30/3/2024,000005127,Cancelled,6/2/2024,,,
PA002,30/3/2024,000005200,Booked,18/1/2024,Premium Economy,21,1
PA002,30/3/2024,000005200,Seat Changed,29/1/2024,Premium Economy,23,4
PA002,30/3/2024,000005200,Seat Changed,6/2/2024,Premium Economy,26,6
PA002,30/3/2024,000005200,Cancelled,27/2/2024,,,
PA002,30/3/2024,000006170,Booked,10/1/2024,Premium Economy,24,8
PA002,30/3/2024,000006170,Upgraded,20/1/2024,Business,16,4
PA002,30/3/2024,000006353,Booked,1/12/2023,Premium Economy,25,4
PA002,30/3/2024,000006353,Cancelled,15/12/2023,,,
PA002,30/3/2024,000006709,Booked,4/12/2023,Premium Economy,22,5
PA002,30/3/2024,000006709,Seat Changed,1/1/2024,Premium Economy,23,7
PA002,30/3/2024,000006709,Seat Changed,20/1/2024,Premium Economy,25,6
PA002,30/3/2024,000006799,Booked,7/1/2024,Premium Economy,26,3
PA002,30/3/2024,000006799,Upgraded,8/2/2024,Business,14,1
PA002,30/3/2024,000006799,Cancelled,9/3/2024,,,
PA002,30/3/2024,000007019,Booked,21/2/2024,Premium Economy,25,6
PA002,30/3/2024,000007019,Seat Changed,13/3/2024,Premium Economy,22,5
PA002,30/3/2024,000007558,Booked,26/1/2024,Premium Economy,26,1
PA002,30/3/2024,000007558,Upgraded,6/2/2024,Business,14,4
PA002,30/3/2024,000007558,Seat Changed,5/3/2024,Business,15,4
PA002,30/3/2024,000007656,Booked,8/12/2023,Premium Economy,24,7
PA002,30/3/2024,000007656,Upgraded,20/12/2023,Business,17,2
PA002,30/3/2024,000007687,Booked,14/2/2024,Premium Economy,20,3
PA002,30/3/2024,000007687,Upgraded,22/3/2024,Business,13,4
PA002,30/3/2024,000007961,Booked,12/12/2023,Premium Economy,23,8
PA002,30/3/2024,000007961,Seat Changed,19/12/2023,Premium Economy,23,1
PA002,30/3/2024,000007961,Upgraded,15/1/2024,Business,11,3
PA002,30/3/2024,000007961,Cancelled,22/1/2024,,,
PA002,30/3/2024,000008016,Booked,14/12/2023,Premium Economy,21,8
PA002,30/3/2024,000008016,Upgraded,30/12/2023,Business,16,1
PA002,30/3/2024,000008016,Upgraded,11/1/2024,First,2,2
PA002,30/3/2024,000008016,Cancelled,15/2/2024,,,
PA002,30/3/2024,000008209,Booked,5/12/2023,Premium Economy,26,1
PA002,30/3/2024,000008209,Seat Changed,14/12/2023,Premium Economy,23,5
PA002,30/3/2024,000008209,Upgraded,27/12/2023,Business,15,2
PA002,30/3/2024,000008209,Seat Changed,28/1/2024,Business,14,1
PA002,30/3/2024,000008286,Booked,27/12/2023,Premium Economy,23,3
PA002,30/3/2024,000008286,Seat Changed,21/1/2024,Premium Economy,25,8
PA002,30/3/2024,000008457,Booked,18/2/2024,Premium Economy,20,6
PA002,30/3/2024,000008457,Cancelled,25/3/2024,,,
PA002,30/3/2024,000008976,Booked,3/1/2024,Premium Economy,24,8
PA002,30/3/2024,000008976,Seat Changed,14/1/2024,Premium Economy,24,5
PA002,30/3/2024,000008976,Cancelled,2/2/2024,,,
PA002,30/3/2024,000009369,Booked,14/12/2023,Premium Economy,20,4
PA002,30/3/2024,000009438,Booked,26/1/2024,Premium Economy,21,3
PA002,30/3/2024,000009438,Upgraded,2/3/2024,Business,10,4
PA002,30/3/2024,000009481,Booked,8/2/2024,Premium Economy,25,8
PA003,6/3/2024,000000185,Booked,12/1/2024,Premium Economy,19,5
PA003,6/3/2024,000000279,Booked,25/11/2023,Premium Economy,21,7
PA003,6/3/2024,000000279,Seat Changed,18/12/2023,Premium Economy,22,4
PA003,6/3/2024,000000404,Booked,20/1/2024,Premium Economy,19,8
PA003,6/3/2024,000000404,Upgraded,15/2/2024,Business,9,4
PA003,6/3/2024,000000420,Booked,1/2/2024,Economy,32,9
PA003,6/3/2024,000000420,Seat Changed,28/2/2024,Economy,32,10
PA003,6/3/2024,000000656,Booked,25/12/2023,Economy,37,10
PA003,6/3/2024,000000656,Seat Changed,29/1/2024,Economy,41,3
PA003,6/3/2024,000000656,Upgraded,6/3/2024,Premium Economy,19,7
PA003,6/3/2024,000000719,Booked,4/1/2024,Premium Economy,21,1
PA003,6/3/2024,000000719,Cancelled,14/1/2024,,,
PA003,6/3/2024,000000844,Booked,24/12/2023,Economy,30,5
PA003,6/3/2024,000000844,Upgraded,29/1/2024,Premium Economy,23,7
PA003,6/3/2024,000001587,Booked,21/1/2024,Premium Economy,26,4
PA003,6/3/2024,000001587,Seat Changed,22/2/2024,Premium Economy,21,4
PA003,6/3/2024,000001780,Booked,6/12/2023,Economy,32,4
PA003,6/3/2024,000001780,Seat Changed,7/1/2024,Economy,35,2
PA003,6/3/2024,000001780,Cancelled,5/2/2024,,,
PA003,6/3/2024,000001891,Booked,29/1/2024,Premium Economy,21,8
PA003,6/3/2024,000001891,Seat Changed,13/2/2024,Premium Economy,19,6
PA003,6/3/2024,000001891,Seat Changed,6/3/2024,Premium Economy,24,6
PA003,6/3/2024,000002016,Booked,13/11/2023,Premium Economy,20,8
PA003,6/3/2024,000002016,Seat Changed,16/12/2023,Premium Economy,19,3
PA003,6/3/2024,000002016,Upgraded,27/12/2023,Business,18,2
PA003,6/3/2024,000002036,Booked,5/1/2024,Economy,28,1
PA003,6/3/2024,000002036,Seat Changed,14/1/2024,Economy,37,3
PA003,6/3/2024,000002036,Cancelled,25/1/2024,,,
PA003,6/3/2024,000002127,Booked,13/11/2023,Premium Economy,20,2
PA003,6/3/2024,000002127,Upgraded,24/11/2023,Business,18,2
PA003,6/3/2024,000002127,Upgraded,20/12/2023,First,2,3
PA003,6/3/2024,000002161,Booked,25/11/2023,Premium Economy,24,1
PA003,6/3/2024,000002161,Seat Changed,15/12/2023,Premium Economy,26,4
PA003,6/3/2024,000002161,Seat Changed,19/1/2024,Premium Economy,25,7
PA003,6/3/2024,000002474,Booked,20/12/2023,Premium Economy,25,6
PA003,6/3/2024,000002474,Seat Changed,27/12/2023,Premium Economy,22,4
PA003,6/3/2024,000002474,Seat Changed,4/1/2024,Premium Economy,20,8
PA003,6/3/2024,000002714,Booked,2/1/2024,Premium Economy,23,8
PA003,6/3/2024,000002714,Seat Changed,2/2/2024,Premium Economy,21,6
PA003,6/3/2024,000002714,Seat Changed,28/2/2024,Premium Economy,25,7
PA003,6/3/2024,000002957,Booked,17/1/2024,Economy,30,5
PA003,6/3/2024,000003193,Booked,29/1/2024,Economy,40,7
PA003,6/3/2024,000003193,Seat Changed,23/2/2024,Economy,30,4
PA003,6/3/2024,000003193,Seat Changed,1/3/2024,Economy,28,2
PA003,6/3/2024,000003242,Booked,24/1/2024,Economy,41,6
PA003,6/3/2024,000003242,Seat Changed,9/2/2024,Economy,30,7
PA003,6/3/2024,000003242,Seat Changed,21/2/2024,Economy,28,4
PA003,6/3/2024,000003539,Booked,24/12/2023,Premium Economy,22,8
PA003,6/3/2024,000003539,Seat Changed,21/1/2024,Premium Economy,21,1
PA003,6/3/2024,000003539,Seat Changed,21/2/2024,Premium Economy,20,3
PA003,6/3/2024,000003539,Upgraded,29/2/2024,Business,11,4
PA003,6/3/2024,000003575,Booked,3/2/2024,Premium Economy,23,1
PA003,6/3/2024,000003575,Cancelled,21/2/2024,,,
PA003,6/3/2024,000003631,Booked,16/1/2024,Economy,30,10
PA003,6/3/2024,000003631,Upgraded,2/2/2024,Premium Economy,25,7
PA003,6/3/2024,000003631,Upgraded,2/3/2024,Business,17,1
PA003,6/3/2024,000003686,Booked,5/1/2024,Premium Economy,20,3
PA003,6/3/2024,000003686,Seat Changed,2/2/2024,Premium Economy,23,5
PA003,6/3/2024,000003686,Seat Changed,19/2/2024,Premium Economy,26,8
PA003,6/3/2024,000003809,Booked,22/11/2023,Economy,35,8
PA003,6/3/2024,000003809,Upgraded,27/12/2023,Premium Economy,23,8
PA003,6/3/2024,000003809,Seat Changed,24/1/2024,Premium Economy,25,4
PA003,6/3/2024,000003809,Seat Changed,28/2/2024,Premium Economy,23,1
PA003,6/3/2024,000003881,Booked,18/11/2023,Economy,37,7
PA003,6/3/2024,000003881,Upgraded,19/12/2023,Premium Economy,26,3
PA003,6/3/2024,000003881,Upgraded,11/1/2024,Business,9,2
PA003,6/3/2024,000004077,Booked,13/12/2023,Premium Economy,19,8
PA003,6/3/2024,000004077,Upgraded,3/1/2024,Business,10,1
PA003,6/3/2024,000004077,Upgraded,22/1/2024,First,5,2
PA003,6/3/2024,000004278,Booked,25/12/2023,Premium Economy,21,2
PA003,6/3/2024,000004278,Seat Changed,2/1/2024,Premium Economy,24,7
PA003,6/3/2024,000004438,Booked,19/11/2023,Premium Economy,21,4
PA003,6/3/2024,000004438,Upgraded,10/12/2023,Business,10,3
PA003,6/3/2024,000004438,Upgraded,12/1/2024,First,7,2
PA003,6/3/2024,000004907,Booked,3/1/2024,Premium Economy,21,7
PA003,6/3/2024,000004907,Upgraded,25/1/2024,Business,12,1
PA003,6/3/2024,000004907,Upgraded,22/2/2024,First,4,4
PA003,6/3/2024,000005008,Booked,29/12/2023,Economy,35,2
PA003,6/3/2024,000005008,Seat Changed,15/1/2024,Economy,30,10
PA003,6/3/2024,000005008,Seat Changed,22/1/2024,Economy,35,2
PA003,6/3/2024,000005008,Cancelled,2/2/2024,,,
PA003,6/3/2024,000005088,Booked,18/12/2023,Economy,40,3
PA003,6/3/2024,000005088,Seat Changed,17/1/2024,Economy,40,2
PA003,6/3/2024,000005088,Upgraded,1/2/2024,Premium Economy,19,2
PA003,6/3/2024,000005572,Booked,25/11/2023,Economy,35,1
PA003,6/3/2024,000005572,Seat Changed,8/12/2023,Economy,28,2
PA003,6/3/2024,000005572,Cancelled,21/12/2023,,,
PA003,6/3/2024,000005639,Booked,14/11/2023,Economy,39,9
PA003,6/3/2024,000005639,Upgraded,14/12/2023,Premium Economy,25,6
PA003,6/3/2024,000006094,Booked,24/12/2023,Economy,30,1
PA003,6/3/2024,000006094,Seat Changed,14/1/2024,Economy,29,1
PA003,6/3/2024,000006094,Upgraded,12/2/2024,Premium Economy,20,4
PA003,6/3/2024,000006094,Cancelled,22/2/2024,,,
PA003,6/3/2024,000006211,Booked,17/11/2023,Economy,30,3
PA003,6/3/2024,000006211,Seat Changed,11/12/2023,Economy,37,3
PA003,6/3/2024,000006211,Seat Changed,17/1/2024,Economy,36,3
PA003,6/3/2024,000006457,Booked,26/12/2023,Economy,28,3
PA003,6/3/2024,000006457,Cancelled,9/1/2024,,,
PA003,6/3/2024,000006689,Booked,22/11/2023,Premium Economy,26,6
PA003,6/3/2024,000006689,Seat Changed,28/12/2023,Premium Economy,25,1
PA003,6/3/2024,000006689,Upgraded,31/1/2024,Business,14,4
PA003,6/3/2024,000006689,Upgraded,9/2/2024,First,3,4
PA003,6/3/2024,000007026,Booked,30/12/2023,Premium Economy,23,3
PA003,6/3/2024,000007026,Seat Changed,31/1/2024,Premium Economy,22,4
PA003,6/3/2024,000007291,Booked,2/2/2024,Premium Economy,26,2
PA003,6/3/2024,000007291,Seat Changed,14/2/2024,Premium Economy,19,2
PA003,6/3/2024,000007316,Booked,3/12/2023,Economy,31,4
PA003,6/3/2024,000007316,Seat Changed,7/1/2024,Economy,34,10
PA003,6/3/2024,000007316,Seat Changed,7/2/2024,Economy,39,8
PA003,6/3/2024,000007594,Booked,7/11/2023,Economy,38,2
PA003,6/3/2024,000007594,Seat Changed,6/12/2023,Economy,34,2
PA003,6/3/2024,000007594,Upgraded,9/1/2024,Premium Economy,23,5
PA003,6/3/2024,000008341,Booked,8/1/2024,Premium Economy,25,1
PA003,6/3/2024,000008341,Upgraded,16/1/2024,Business,17,2
PA003,6/3/2024,000008341,Seat Changed,31/1/2024,Business,10,2
PA003,6/3/2024,000008616,Booked,2/12/2023,Premium Economy,26,1
PA003,6/3/2024,000008616,Seat Changed,13/12/2023,Premium Economy,26,7
PA003,6/3/2024,000008872,Booked,25/1/2024,Premium Economy,20,1
PA003,6/3/2024,000008872,Seat Changed,18/2/2024,Premium Economy,19,7
PA003,6/3/2024,000008872,Seat Changed,28/2/2024,Premium Economy,20,7
PA003,6/3/2024,000008948,Booked,4/1/2024,Economy,30,4
PA003,6/3/2024,000008948,Seat Changed,21/1/2024,Economy,40,9
PA003,6/3/2024,000009675,Booked,13/11/2023,Premium Economy,20,4
PA003,6/3/2024,000009675,Upgraded,10/12/2023,Business,14,2
PA004,17/3/2024,000000185,Booked,22/1/2024,Economy,40,4
PA004,17/3/2024,000000404,Booked,13/1/2024,Economy,42,6
PA004,17/3/2024,000000404,Upgraded,21/1/2024,Premium Economy,24,8
PA004,17/3/2024,000000404,Cancelled,22/2/2024,,,
PA004,17/3/2024,000000407,Booked,12/2/2024,Economy,27,4
PA004,17/3/2024,000000407,Seat Changed,25/2/2024,Economy,40,6
PA004,17/3/2024,000000844,Booked,22/11/2023,Economy,35,6
PA004,17/3/2024,000000844,Seat Changed,11/12/2023,Economy,28,5
PA004,17/3/2024,000000844,Cancelled,2/1/2024,,,
