year,men,women
2006,"Bob Bryan, Mike Bryan","Zi Yan, Jie Zheng"
2007,"Arnaud Clément, Michael Llodra","Cara Black, Liezel Huber"
2008,"Daniel Nestor, Nenad Zimonjic","Serena Williams, Venus Williams"
2009,"Daniel Nestor, Nenad Zimonjic","Serena Williams, Venus Williams"
2010,"Jungen Melzer, Phillip Petzschner","Vania King, Yaroslava Shvedova"
2011,"Bob Bryan, Mike Bryan","Kveta Peschke, Katarina Srebotnik"
2012,"Jonathon Marray, Frederik Nielsen","Serena Williams, Venus Williams"
2013,"Bob Bryan, Mike Bryan","Hsieh Su-wei, Peng Shuai"
2014,"Vasek Pospisil, Jack Sock","Sara Errani, Roberta Vinci"
2015,"Jean-Julien Rojer, Horia Tecau","Martina Hingis, Sania Mirza"
2016,"Pierre-Hugues Herbert, Nicolas Mahut","Serena Williams, Venus Williams"
2017,"Lukasz Kubot, Marcelo Melo","Ekaterina Makarova, Elena Vesnina"
2018,"Mike Bryan, Jack Sock","Barbora Krejcikova, Katerina Siniakova"
2019,"Juan Sebastian Cabal, Robert Farah","Hsieh Su-wei, Barbora Strycova"
20203,not held,
2021,"Nikola Mektic, Mate Pavic","Hsieh Su-wei, Elise Mertens"
2022,"Matthew Ebden, Max Purcell","Barbora Krejcikova, Katerina Siniakova"
2023,"Wesley Koolhof, Neal Skupski","Hsieh Su-wei, Barbora Strycova"
1Tournament canceled because of World War I.,,
2Tournament canceled because of World War II.,,
3Tournament canceled because of the coronavirus pandemic.,,
