year,men,women
1962,Rod Laver (Austl.),Karen Susman (U.S.)
1963,Chuck McKinley (U.S.),Margaret Smith (Austl.)
1964,Roy Emerson (Austl.),Maria Bueno (Braz.)
1965,Roy Emerson (Austl.),Margaret Smith (Austl.)
1966,Manolo Santana (Spain),Billie Jean King (U.S.)
1967,John Newcombe (Austl.),Billie Jean King (U.S.)
19683,Rod Laver (Austl.),Billie Jean King (U.S.)
1969,Rod Laver (Austl.),Ann Jones (U.K.)
1970,John Newcombe (Austl.),Margaret Smith Court (Austl.)
1971,John Newcombe (Austl.),Evonne Goolagong (Austl.)
1972,Stan Smith (U.S.),Billie Jean King (U.S.)
1973,Jan Kodes (Czech.),Billie Jean King (U.S.)
1974,Jimmy Connors (U.S.),Chris Evert (U.S.)
1975,Arthur Ashe (U.S.),Billie Jean King (U.S.)
1976,Bjorn Borg (Swed.),Chris Evert (U.S.)
1977,Bjorn Borg (Swed.),Virginia Wade (U.K.)
1978,Bjorn Borg (Swed.),Martina Navratilova (Czech.)
1979,Bjorn Borg (Swed.),Martina Navratilova (Czech.)
1980,Bjorn Borg (Swed.),Evonne Goolagong Cawley (Austl.)
1981,John McEnroe (U.S.),Chris Evert Lloyd (U.S.)
1982,Jimmy Connors (U.S.),Martina Navratilova (U.S.)
1983,John McEnroe (U.S.),Martina Navratilova (U.S.)
1984,John McEnroe (U.S.),Martina Navratilova (U.S.)
1985,Boris Becker (W.Ger.),Martina Navratilova (U.S.)
1986,Boris Becker (W.Ger.),Martina Navratilova (U.S.)
1987,Pat Cash (Austl.),Martina Navratilova (U.S.)
1988,Stefan Edberg (Swed.),Steffi Graf (W.Ger.)
1989,Boris Becker (W.Ger.),Steffi Graf (W.Ger.)
1990,Stefan Edberg (Swed.),Martina Navratilova (U.S.)
1991,Michael Stich (Ger.),Steffi Graf (Ger.)
1992,Andre Agassi (U.S.),Steffi Graf (Ger.)
1993,Pete Sampras (U.S.),Steffi Graf (Ger.)
1994,Pete Sampras (U.S.),Conchita Martinez (Spain)
1995,Pete Sampras (U.S.),Steffi Graf (Ger.)
1996,Richard Krajicek (Neth.),Steffi Graf (Ger.)
1997,Pete Sampras (U.S.),Martina Hingis (Switz.)
1998,Pete Sampras (U.S.),Jana Novotna (Cz.Rep.)
1999,Pete Sampras (U.S.),Lindsay Davenport (U.S.)
2000,Pete Sampras (U.S.),Venus Williams (U.S.)
2001,Goran Ivanisevic (Cro.),Venus Williams (U.S.)
2002,Lleyton Hewitt (Austl.),Serena Williams (U.S.)
2003,Roger Federer (Switz.),Serena Williams (U.S.)
2004,Roger Federer (Switz.),Maria Sharapova (Russia)
2005,Roger Federer (Switz.),Venus Williams (U.S.)
2006,Roger Federer (Switz.),Amelie Mauresmo (France)
2007,Roger Federer (Switz.),Venus Williams (U.S.)
2008,Rafael Nadal (Spain),Venus Williams (U.S.)
2009,Roger Federer (Switz.),Serena Williams (U.S.)
2010,Rafael Nadal (Spain),Serena Williams (U.S.)
2011,Novak Djokovic (Serbia),Petra Kvitova (Cz.Rep.)
2012,Roger Federer (Switz.),Serena Williams (U.S.)
2013,Andy Murray (U.K.),Marion Bartoli (France)
2014,Novak Djokovic (Serbia),Petra Kvitova (Cz.Rep.)
2015,Novak Djokovic (Serbia),Serena Williams (U.S.)
2016,Andy Murray (U.K.),Serena Williams (U.S.)
2017,Roger Federer (Switz.),Garbiñe Muguruza (Spain)
2018,Novak Djokovic (Serbia),Angelique Kerber (Ger.)
2019,Novak Djokovic (Serbia),Simona Halep (Rom.)
20204,not held,
2021,Novak Djokovic (Serbia),Ashleigh Barty (Austl.)
2022,Novak Djokovic (Serbia),Elena Rybakina (Kazakh.)
2023,Carlos Alcaraz (Spain),Marketa Vondrousova (Czech.)
1Tournament canceled because of World War I.,,
2Tournament canceled because of World War II.,,
3Open since 1968.,,
4Tournament canceled because of the coronavirus pandemic.,,
