Sales_Date,Product,Price,Quantity_Sold
19/2/2021,Sunshine Bunny Honey Soap,4,20
20/2/2021,Bunny Kisses Shea Butter Bar,6,13
20/2/2021,Lavender Fields Bunny Soap,2.5,16
20/2/2021,Springtime Blossom Handmade Soap,3,11
20/2/2021,Sunshine Bunny Honey Soap,4,18
22/2/2021,Lavender Fields Bunny Soap,2.5,16
22/2/2021,Springtime Blossom Handmade Soap,3,34
22/2/2021,Sunshine Bunny Honey Soap,4,21
23/2/2021,Lavender Fields Bunny Soap,2.5,14
23/2/2021,Sunshine Bunny Honey Soap,4,5
24/2/2021,Bunny Kisses Shea Butter Bar,6,16
24/2/2021,Lavender Fields Bunny Soap,2.5,23
24/2/2021,Springtime Blossom Handmade Soap,3,31
24/2/2021,Sunshine Bunny Honey Soap,4,23
25/2/2021,Bunny Kisses Shea Butter Bar,6,6
25/2/2021,Lavender Fields Bunny Soap,2.5,17
25/2/2021,Springtime Blossom Handmade Soap,3,6
26/2/2021,Bunny Kisses Shea Butter Bar,6,22
26/2/2021,Lavender Fields Bunny Soap,2.5,13
26/2/2021,Springtime Blossom Handmade Soap,3,27
27/2/2021,Bunny Kisses Shea Butter Bar,6,8
27/2/2021,Lavender Fields Bunny Soap,2.5,14
27/2/2021,Springtime Blossom Handmade Soap,3,9
28/2/2021,Bunny Kisses Shea Butter Bar,6,25
28/2/2021,Lavender Fields Bunny Soap,2.5,16
28/2/2021,Springtime Blossom Handmade Soap,3,38
1/3/2021,Bunny Kisses Shea Butter Bar,6,22
1/3/2021,Springtime Blossom Handmade Soap,3,19
2/3/2021,Bunny Kisses Shea Butter Bar,6,19
2/3/2021,Lavender Fields Bunny Soap,2.5,9
2/3/2021,Springtime Blossom Handmade Soap,3,23
3/3/2021,Bunny Kisses Shea Butter Bar,6,30
3/3/2021,Springtime Blossom Handmade Soap,3,36
4/3/2021,Springtime Blossom Handmade Soap,3,10
5/3/2021,Bunny Kisses Shea Butter Bar,6,28
6/3/2021,Bunny Kisses Shea Butter Bar,6,15
6/3/2021,Lavender Fields Bunny Soap,2.5,23
6/3/2021,Springtime Blossom Handmade Soap,3,6
7/3/2021,Bunny Kisses Shea Butter Bar,6,23
7/3/2021,Lavender Fields Bunny Soap,2.5,13
7/3/2021,Springtime Blossom Handmade Soap,3,20
8/3/2021,Bunny Kisses Shea Butter Bar,6,4
9/3/2021,Bunny Kisses Shea Butter Bar,6,24
9/3/2021,Lavender Fields Bunny Soap,2.5,29
10/3/2021,Bunny Kisses Shea Butter Bar,6,23
10/3/2021,Springtime Blossom Handmade Soap,3,10
11/3/2021,Bunny Kisses Shea Butter Bar,6,26
11/3/2021,Lavender Fields Bunny Soap,2.5,7
12/3/2021,Bunny Kisses Shea Butter Bar,6,11
12/3/2021,Lavender Fields Bunny Soap,2.5,17
13/3/2021,Lavender Fields Bunny Soap,2.5,31
13/3/2021,Springtime Blossom Handmade Soap,3,15
14/3/2021,Lavender Fields Bunny Soap,2.5,31
18/3/2021,Lavender Fields Bunny Soap,2.5,16
21/3/2021,Lavender Fields Bunny Soap,2.5,24
22/3/2021,Lavender Fields Bunny Soap,2.5,15
23/3/2021,Lavender Fields Bunny Soap,2.5,6
24/3/2021,Lavender Fields Bunny Soap,2.5,22
25/3/2021,Lavender Fields Bunny Soap,2.5,5
27/3/2021,Lavender Fields Bunny Soap,2.5,22
30/3/2021,Lavender Fields Bunny Soap,2.5,14
31/3/2021,Lavender Fields Bunny Soap,2.5,12
1/4/2021,Lavender Fields Bunny Soap,2.5,9
2/4/2021,Lavender Fields Bunny Soap,2.5,19
21/2/2021,Bunny Kisses Shea Butter Bar,6,16
21/2/2021,Chocolate Bunny Exfoliating Scrub,10,11
21/2/2021,Eggcellent Citrus Splash Soap,1.25,31
21/2/2021,Hot Cross Bun & Honey Almond Soap,2,12
21/2/2021,Lavender Fields Bunny Soap,2.5,29
21/2/2021,Spring Meadow Goat Milk Soap,3.75,20
21/2/2021,Springtime Blossom Handmade Soap,3,22
21/2/2021,Sunshine Bunny Honey Soap,4,5
15/3/2021,Bunny Kisses Shea Butter Bar,6,14
15/3/2021,Chocolate Bunny Exfoliating Scrub,10,21
15/3/2021,Eggcellent Citrus Splash Soap,1.25,11
15/3/2021,Hot Cross Bun & Honey Almond Soap,2,24
15/3/2021,Lavender Fields Bunny Soap,2.5,3
15/3/2021,Spring Meadow Goat Milk Soap,3.75,29
15/3/2021,Springtime Blossom Handmade Soap,3,33
15/3/2021,Sunshine Bunny Honey Soap,4,10
16/3/2021,Bunny Kisses Shea Butter Bar,6,12
16/3/2021,Chocolate Bunny Exfoliating Scrub,10,30
16/3/2021,Eggcellent Citrus Splash Soap,1.25,6
16/3/2021,Hot Cross Bun & Honey Almond Soap,2,21
16/3/2021,Lavender Fields Bunny Soap,2.5,31
16/3/2021,Spring Meadow Goat Milk Soap,3.75,8
16/3/2021,Springtime Blossom Handmade Soap,3,26
16/3/2021,Sunshine Bunny Honey Soap,4,13
17/3/2021,Bunny Kisses Shea Butter Bar,6,33
17/3/2021,Chocolate Bunny Exfoliating Scrub,10,22
17/3/2021,Eggcellent Citrus Splash Soap,1.25,5
17/3/2021,Hot Cross Bun & Honey Almond Soap,2,23
17/3/2021,Lavender Fields Bunny Soap,2.5,15
17/3/2021,Spring Meadow Goat Milk Soap,3.75,22
17/3/2021,Springtime Blossom Handmade Soap,3,28
17/3/2021,Sunshine Bunny Honey Soap,4,32
19/3/2021,Bunny Kisses Shea Butter Bar,6,31
19/3/2021,Chocolate Bunny Exfoliating Scrub,10,34
19/3/2021,Eggcellent Citrus Splash Soap,1.25,31
19/3/2021,Hot Cross Bun & Honey Almond Soap,2,19
19/3/2021,Lavender Fields Bunny Soap,2.5,33
19/3/2021,Spring Meadow Goat Milk Soap,3.75,27
19/3/2021,Springtime Blossom Handmade Soap,3,28
19/3/2021,Sunshine Bunny Honey Soap,4,23
20/3/2021,Bunny Kisses Shea Butter Bar,6,5
20/3/2021,Chocolate Bunny Exfoliating Scrub,10,29
20/3/2021,Eggcellent Citrus Splash Soap,1.25,31
20/3/2021,Hot Cross Bun & Honey Almond Soap,2,8
20/3/2021,Lavender Fields Bunny Soap,2.5,32
20/3/2021,Spring Meadow Goat Milk Soap,3.75,29
20/3/2021,Springtime Blossom Handmade Soap,3,31
20/3/2021,Sunshine Bunny Honey Soap,4,6
26/3/2021,Bunny Kisses Shea Butter Bar,6,33
26/3/2021,Chocolate Bunny Exfoliating Scrub,10,32
26/3/2021,Eggcellent Citrus Splash Soap,1.25,22
26/3/2021,Hot Cross Bun & Honey Almond Soap,2,12
26/3/2021,Lavender Fields Bunny Soap,2.5,37
26/3/2021,Spring Meadow Goat Milk Soap,3.75,38
26/3/2021,Springtime Blossom Handmade Soap,3,31
26/3/2021,Sunshine Bunny Honey Soap,4,29
28/3/2021,Bunny Kisses Shea Butter Bar,6,29
28/3/2021,Chocolate Bunny Exfoliating Scrub,10,18
28/3/2021,Eggcellent Citrus Splash Soap,1.25,22
28/3/2021,Hot Cross Bun & Honey Almond Soap,2,36
28/3/2021,Lavender Fields Bunny Soap,2.5,8
28/3/2021,Spring Meadow Goat Milk Soap,3.75,25
28/3/2021,Springtime Blossom Handmade Soap,3,24
28/3/2021,Sunshine Bunny Honey Soap,4,11
29/3/2021,Bunny Kisses Shea Butter Bar,6,7
29/3/2021,Chocolate Bunny Exfoliating Scrub,10,16
29/3/2021,Eggcellent Citrus Splash Soap,1.25,26
29/3/2021,Hot Cross Bun & Honey Almond Soap,2,10
29/3/2021,Lavender Fields Bunny Soap,2.5,3
29/3/2021,Spring Meadow Goat Milk Soap,3.75,12
29/3/2021,Springtime Blossom Handmade Soap,3,22
29/3/2021,Sunshine Bunny Honey Soap,4,11
3/4/2021,Bunny Kisses Shea Butter Bar,6,36
3/4/2021,Chocolate Bunny Exfoliating Scrub,10,28
3/4/2021,Eggcellent Citrus Splash Soap,1.25,10
3/4/2021,Hot Cross Bun & Honey Almond Soap,2,35
3/4/2021,Lavender Fields Bunny Soap,2.5,16
3/4/2021,Spring Meadow Goat Milk Soap,3.75,36
3/4/2021,Springtime Blossom Handmade Soap,3,37
3/4/2021,Sunshine Bunny Honey Soap,4,14
